v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
4.198,0.668,1.222,0.793,0.935,0.373867,0.7077
6.863,0.643,1.624,1.446,0.875,0.000819,0.4786
7.091,0.565,1.058,0.371,0.723,0.359498,0.8222
2.916,0.665,1.256,0.743,0.385,0.219361,0.7237
8.009,0.571,0.88,0.726,0.959,0.350064,0.9172
7.429,0.659,1.394,0.312,0.745,0.478196,0.7614
6.901,0.812,1.524,0.445,0.932,0.03479,0.5723
6.272,0.593,0.812,0.806,0.507,0.254469,0.9436
6.618,0.563,0.923,0.97,0.54,0.381794,0.9121
7.218,0.804,1.492,0.816,0.771,0.144189,0.6475
4.451,0.787,1.246,1.258,0.876,0.449019,0.844
9.333,0.679,1.119,0.999,0.56,0.314722,0.8785
7.645,0.757,1.175,0.5,0.601,0.074662,0.791
9.121,0.654,0.954,0.331,0.752,0.333481,0.9316
4.725,0.572,1.21,0.673,0.774,0.317185,0.6657
4.917,0.615,1.788,0.845,0.782,0.073593,0.4235
5.885,0.558,1.305,1.457,0.569,0.020418,0.5929
2.248,0.666,0.96,0.328,0.829,0.240082,0.7771
4.314,0.82,0.916,1.447,0.52,0.465167,1.0
6.824,0.798,1.784,0.646,0.973,0.203932,0.5226
5.084,0.652,1.341,0.485,0.688,0.283636,0.6538
8.095,0.8,1.24,0.663,0.482,0.101905,0.8141
2.461,0.653,1.07,1.46,0.69,0.181834,0.6937
6.644,0.592,1.244,1.051,0.642,0.210371,0.6925
9.951,0.814,1.423,0.983,0.734,0.105407,0.7329
5.161,0.562,1.276,0.952,0.459,0.504764,0.7896
9.276,0.767,1.333,1.344,0.391,0.41391,0.9174
2.999,0.788,1.076,1.353,0.961,0.077909,0.7208
5.701,0.844,1.283,1.336,0.712,0.196522,0.7696
4.286,0.611,1.562,0.764,0.658,0.257781,0.5243
6.618,0.81,1.781,0.789,0.879,0.400306,0.6019
6.588,0.837,1.0,0.431,0.898,0.229938,0.9609
8.776,0.818,0.862,1.36,0.614,0.267262,1.0
